S? th? t?,???ng d?n,Tên ?nh,Nhãn Bàn Tay,Nhãn Ngón Tay Cái,Cluster,id,PC1,PC2
No. 2586,train1,4248.png,L,P,2,4248,-946.5207131517927,257.0439422965789
No. 2587,train1,4249.png,L,P,2,4249,-1871.875118274135,-433.1148997129389
No. 2588,train1,4250.png,L,P,2,4250,600.0770335186093,1738.1341206985264
No. 2589,train1,4252.png,L,P,2,4252,-1193.3868468231929,-389.79627101355084
No. 2590,train1,4253.png,L,P,2,4253,-379.2449579010088,-300.17146932664804
No. 2591,train1,4254.png,L,P,2,4254,-126.49051040871996,-500.7885265293496
No. 2592,train1,4255.png,L,P,2,4255,948.957460793156,933.4709759691481
No. 2593,train1,4256.png,L,P,2,4256,-1289.7192107762821,-178.55373719003248
No. 2594,train1,4257.png,L,P,2,4257,-1684.7420363239132,-563.9576856691399
No. 2595,train1,4258.png,L,P,2,4258,-2034.083161129687,-328.5183928733858
No. 2596,train1,4259.png,L,P,2,4259,-1446.238780491506,-239.39767865922022
No. 2597,train1,4260.png,L,P,2,4260,-1630.5001344361892,-816.7984142741421
No. 2598,train1,4262.png,L,P,2,4262,-1177.885788245014,-760.6512152491691
No. 2599,train1,4263.png,L,P,2,4263,-1862.1081632448493,-18.12744303677366
No. 2600,train1,4264.png,L,P,2,4264,1299.6699564601088,1969.3707819506053
No. 2601,train1,4265.png,L,P,2,4265,-1638.9897127561646,-22.97868198144633
No. 2602,train1,4266.png,L,P,2,4266,-1916.184014715468,-252.94619766263642
No. 2603,train1,4268.png,L,P,2,4268,-1226.5226184263931,-340.3686677781814
No. 2604,train1,4269.png,L,P,2,4269,-2381.406516198179,-289.28747617922295
No. 2605,train1,4270.png,L,P,2,4270,618.3454597903499,542.9420442214711
No. 2606,train1,4271.png,L,P,2,4271,-1032.0625507226312,-578.7663102990479
No. 2607,train1,4272.png,L,P,2,4272,-748.3144266184112,-444.5087870854664
No. 2608,train1,4273.png,L,P,2,4273,-1221.0265620417706,-255.62992522442087
No. 2609,train1,4275.png,L,P,2,4275,-1234.1301247795077,-718.7481722987393
No. 2610,train1,4276.png,L,P,2,4276,-1501.670133247277,-348.9057408442466
No. 2611,train1,4277.png,L,P,2,4277,-33.72458534154551,997.2525179897596
No. 2612,train1,4278.png,L,P,2,4278,-307.92230545517947,-278.348145757499
No. 2613,train1,4279.png,L,P,2,4279,-629.1869189761866,-561.1568962229212
No. 2614,train1,4280.png,L,P,2,4280,754.83630119574,-1212.1147510551152
No. 2615,train1,4281.png,L,P,2,4281,1148.1605275791064,-603.3888327874398
No. 2616,train1,4282.png,L,P,2,4282,-1273.0564257901656,-847.3736559272489
No. 2617,train1,4284.png,L,P,2,4284,-174.20468657058152,992.946214803846
No. 2618,train1,4285.png,L,P,2,4285,-1479.459244036059,-423.57460874380655
No. 2619,train1,4286.png,L,P,2,4286,-1519.269367129516,-379.8334127255866
No. 2620,train1,4287.png,L,P,2,4287,-1512.5828508824304,-516.6017160605754
No. 2621,train1,4288.png,L,P,2,4288,-2320.713001924024,-408.94795021742345
No. 2622,train1,4289.png,L,P,2,4289,-1399.6719993205556,122.37598274728452
No. 2623,train1,4290.png,L,P,2,4290,-1348.9725583603788,-462.26507786690166
No. 2624,train1,4291.png,L,P,2,4291,-1293.288603247884,-553.2377342513252
No. 2625,train1,4293.png,L,P,2,4293,-1287.502191197677,-59.62123936994134
No. 2626,train1,4294.png,L,P,2,4294,-1902.1973695999413,-1011.489812350382
No. 2627,train1,4295.png,L,P,2,4295,-1526.6955311884872,-498.3429124316132
No. 2628,train1,4296.png,L,P,2,4296,-2019.3238316088257,-362.1209222166296
No. 2629,train1,4297.png,L,P,2,4297,-1599.2591325519038,-285.1079721315922
No. 2630,train1,4298.png,L,P,2,4298,-1746.6043826048333,-324.0493968095885
No. 2631,train1,4299.png,L,P,2,4299,-1401.7756654039226,-577.8459382272706
No. 2632,train1,4300.png,L,P,2,4300,-1354.6055589313771,-567.9468440458008
No. 2633,train1,4301.png,L,P,2,4301,-1250.206522791252,-551.9941422384477
No. 2634,train1,4302.png,L,P,2,4302,-2344.097453036119,-235.13025035238164
No. 2635,train1,4303.png,L,P,2,4303,-1219.8136999999074,-263.3916622203604
No. 2636,train1,4304.png,L,P,2,4304,-1590.0817728898262,-58.05790745645466
No. 2637,train1,4305.png,L,P,2,4305,-1336.8655246160868,-204.93846111606382
No. 2638,train1,4306.png,L,P,2,4306,-1641.6519447030607,-37.80852615792101
No. 2639,train1,4307.png,L,P,2,4307,48.413097522192864,895.0178373631293
No. 2640,train1,4308.png,L,P,2,4308,-1410.835861229516,34.08065018196518
No. 2641,train1,4309.png,L,P,2,4309,-792.8065941008688,64.73729476504691
No. 2642,train1,4310.png,L,P,2,4310,-1563.9445493343214,-142.0395267463315
No. 2643,train1,4311.png,L,P,2,4311,-1562.767470176498,-387.257531396228
No. 2644,train1,4312.png,L,P,2,4312,-2286.952329206611,-434.2412144647838
No. 2645,train1,4313.png,L,P,2,4313,-1299.6548752141725,-697.4274392563686
No. 2646,train1,4314.png,L,P,2,4314,-1729.5134248607658,-655.0292655152466
No. 2647,train1,4315.png,L,P,2,4315,-1467.0773838748041,-200.37303263764383
No. 2648,train1,4316.png,L,P,2,4316,-1151.9912943811116,-41.166139821514
No. 2649,train1,4318.png,L,P,2,4318,-1069.5553194214363,289.7382548404028
No. 2650,train1,4319.png,L,P,2,4319,-1335.7895008189314,-475.45935799004826
No. 2651,train1,4320.png,L,P,2,4320,-1601.8186125446357,-830.1655886152465
No. 2652,train1,4321.png,L,P,2,4321,-970.2997297822552,-347.92311388066736
No. 2653,train1,4322.png,L,P,2,4322,-654.5360351496114,-1002.2313673517814
No. 2654,train1,4323.png,L,P,2,4323,-1423.5417224537478,-372.54237965807636
No. 2655,train1,4324.png,L,P,2,4324,-1348.079592653602,167.12163120756674
No. 2656,train1,4325.png,L,P,2,4325,-2439.672183135321,-677.574608262719
No. 2657,train1,4326.png,L,P,2,4326,-2207.5294983780773,-50.36015732563046
No. 2658,train1,4327.png,L,P,2,4327,-2051.259895592649,-424.2101245202632
No. 2659,train1,4328.png,L,P,2,4328,-923.3708649113748,199.96859408361337
No. 2660,train1,4329.png,L,P,2,4329,-1368.3553278968075,-474.5429261415456
No. 2661,train1,4330.png,L,P,2,4330,-1082.6543805332458,-66.91282566361181
No. 2662,train1,4331.png,L,P,2,4331,-2100.753619347397,-636.7483301058049
No. 2663,train1,4332.png,L,P,2,4332,-1704.744699755481,-661.602673490241
No. 2664,train1,4333.png,L,P,2,4333,-1601.6831092318646,-67.13602906412872
No. 2665,train1,4334.png,L,P,2,4334,-778.7964691920292,-44.92156976026494
No. 2666,train1,4337.png,L,P,2,4337,-1939.5010409942365,-428.73089687598343
No. 2667,train1,4339.png,L,P,2,4339,-1523.2745852290554,126.21464507248237
No. 2668,train1,4340.png,L,P,2,4340,-1533.6087796043737,-391.28321202993385
No. 2669,train1,4341.png,L,P,2,4341,-1409.3780465039601,-720.4356814248356
No. 2670,train1,4342.png,L,P,2,4342,-1682.639942575878,-581.2012914490329
No. 2671,train1,4343.png,L,P,2,4343,-1500.604867257345,-448.2262562585038
No. 2672,train1,4344.png,L,P,2,4344,-1466.2280544350413,246.3260231238927
No. 2673,train1,4345.png,L,P,2,4345,-1746.7333213895902,-893.7202011895565
No. 2674,train1,4346.png,L,P,2,4346,-2450.046413274329,-674.8083966928841
No. 2675,train1,4347.png,L,P,2,4347,-1738.6383710149387,-641.8411917010401
No. 2676,train1,4350.png,L,P,2,4350,-2181.338921557719,-496.74446993388636
No. 2677,train1,4351.png,L,P,2,4351,-1196.8284343223522,-263.9368261743994
No. 2678,train1,4352.png,L,P,2,4352,-2243.554392326907,-535.8926330433304
No. 2679,train1,4353.png,L,P,2,4353,-1846.9847016404678,-507.96233334869163
No. 2680,train1,4354.png,L,P,2,4354,-1354.0833297727133,-231.22071053475534
No. 2681,train1,4355.png,L,P,2,4355,-1247.1609775067748,150.36297682225464
No. 2682,train1,4356.png,L,P,2,4356,-1644.089354675311,38.16778055394816
No. 2683,train1,4357.png,L,P,2,4357,-1588.8408060427437,-137.3691710550101
No. 2684,train1,4358.png,L,P,2,4358,-2114.1292652560865,-472.96675041421145
No. 2685,train1,4359.png,L,P,2,4359,-2221.5381998368925,-610.3998686029361
No. 2686,train1,4560.png,L,P,2,4560,2068.2830260569667,164.32013858184308
No. 2687,train1,4561.png,L,P,2,4561,-1591.6851334181506,-185.63351864028684
No. 2688,train1,4562.png,L,P,2,4562,-176.94640599942448,310.45692934211417
No. 2689,train1,4563.png,L,P,2,4563,-280.3333456363301,788.9639952250318
No. 2690,train1,4564.png,L,P,2,4564,-212.84215015461405,724.4390394698181
No. 2691,train1,4566.png,L,P,2,4566,273.9423866740617,-134.2375025700018
No. 2692,train1,4567.png,L,P,2,4567,166.77602156118508,-1379.4086161587543
No. 2693,train1,4568.png,L,P,2,4568,835.5799374842293,346.99601575584524
No. 2694,train1,4569.png,L,P,2,4569,1813.0343571579333,1230.2008192469577
No. 2695,train1,4570.png,L,P,2,4570,-29.342471576774745,735.4092522907371
No. 2696,train1,4571.png,L,P,2,4571,762.1115966969624,1105.5898308830845
No. 2697,train1,4573.png,L,P,2,4573,472.5751803574926,-164.20699910066864
No. 2698,train1,4574.png,L,P,2,4574,-176.5143000542679,-271.69444483725135
No. 2699,train1,4575.png,L,P,2,4575,157.94363405218834,-997.0205024504617
No. 2700,train1,4576.png,L,P,2,4576,-415.91739845170287,589.8055583273224
No. 2701,train1,4577.png,L,P,2,4577,-547.8517635210931,-1580.1586091352658
No. 2702,train1,4578.png,L,P,2,4578,-602.3679820390798,-1850.4202720678734
No. 2703,train1,4579.png,L,P,2,4579,1698.1161953547598,517.1247190662867
No. 2704,train1,4580.png,L,P,2,4580,515.354566555593,-1358.212199259951
No. 2705,train1,4582.png,L,P,2,4582,-358.9152198886175,169.020310708808
No. 2706,train1,4583.png,L,P,2,4583,1880.158139677528,693.9100973084721
No. 2707,train1,4585.png,L,P,2,4585,10.709166308464127,-1947.1441479358202
No. 2708,train1,4586.png,L,P,2,4586,-1029.9670762003075,857.1226072051678
No. 2709,train1,4587.png,L,P,2,4587,-678.927244657941,-159.75398353626576
No. 2710,train1,4588.png,L,P,2,4588,-64.3887126316926,-982.3288575345188
No. 2711,train1,4589.png,L,P,2,4589,-61.05054636805542,-1239.9448133101878
No. 2712,train1,4590.png,L,P,2,4590,305.27320100777143,-447.2012961534804
No. 2713,train1,4591.png,L,P,2,4591,-779.0029983854101,1106.5503620837142
No. 2714,train1,4592.png,L,P,2,4592,2226.9566630534323,2046.7276320807512
No. 2715,train1,4593.png,L,P,2,4593,-264.9211919497494,-1800.9470106114302
No. 2716,train1,4595.png,L,P,2,4595,-938.7923201242791,-1477.2282408566239
No. 2717,train1,4596.png,L,P,2,4596,-320.6667816268317,-405.2534137038488
No. 2718,train1,4597.png,L,P,2,4597,47.01735136714311,-327.3282841893869
No. 2719,train1,4598.png,L,P,2,4598,-26.333112400733285,-137.89492363849283
No. 2720,train1,4599.png,L,P,2,4599,1835.658208494273,-208.56790191403604
No. 2721,train1,4600.png,L,P,2,4600,-604.0236238675836,-15.72025664254719
No. 2722,train1,4601.png,L,P,2,4601,182.49483425112285,437.5232331292263
No. 2723,train1,4602.png,L,P,2,4602,1144.661971442112,973.2150847473465
No. 2724,train1,4603.png,L,P,2,4603,515.4486690513509,-1049.3127458800516
No. 2725,train1,4604.png,L,P,2,4604,-405.4079593370775,892.5253927368356
No. 2726,train1,4605.png,L,P,2,4605,321.9463008177335,-692.1989483245709
No. 2727,train1,4606.png,L,P,2,4606,2000.855136316937,-1777.3716848742172
No. 2728,train1,4607.png,L,P,2,4607,29.241243106833448,-1589.5331521958508
No. 2729,train1,4608.png,L,P,2,4608,434.30468209004925,-732.6322352355886
No. 2730,train1,4609.png,L,P,2,4609,133.2018774917143,-946.4103954059551
No. 2731,train1,4610.png,L,P,2,4610,-1240.964015310128,-570.6773267503906
No. 2732,train1,4611.png,L,P,2,4611,97.44392813351556,1108.0225762562636
No. 2733,train1,4612.png,L,P,2,4612,-633.464864656699,-478.116191155433
No. 2734,train1,4613.png,L,P,2,4613,1116.5129346783915,-329.06704602138876
No. 2735,train1,4614.png,L,P,2,4614,-1198.8816797866261,209.07434581400693
No. 2736,train1,4615.png,L,P,2,4615,481.85232823411894,-447.7848005418772
No. 2737,train1,4616.png,L,P,2,4616,-1133.2251192007438,270.0199789463799
No. 2738,train1,4617.png,L,P,2,4617,183.1553531461635,-490.63951451363295
No. 2739,train1,4618.png,L,P,2,4618,-451.5454752985434,657.8963430046703
No. 2740,train1,4619.png,L,P,2,4619,2329.3809712360453,-300.75205410749504
No. 2741,train1,4620.png,L,P,2,4620,-559.3320687979045,-1500.0984354045847
No. 2742,train1,4621.png,L,P,2,4621,137.4155302765874,652.190929359257
No. 2743,train1,4622.png,L,P,2,4622,109.27809509913281,-986.26612486152
No. 2744,train1,4623.png,L,P,2,4623,2463.372281779322,860.7328940885916
No. 2745,train1,4624.png,L,P,2,4624,-475.90824520067474,1138.7501582327634
No. 2746,train1,4625.png,L,P,2,4625,-181.63892903903974,1362.1417013804926
No. 2747,train1,4626.png,L,P,2,4626,2232.9097337643484,62.57819742425098
No. 2748,train1,4627.png,L,P,2,4627,-1336.9637929943735,-407.5386898193417
No. 2749,train1,4628.png,L,P,2,4628,149.93132268357047,-1046.1563396481415
No. 2750,train1,4629.png,L,P,2,4629,-650.7583070586809,-1800.4697045681514
No. 2751,train1,4630.png,L,P,2,4630,-716.1230965652738,859.1658709483709
No. 2752,train1,4631.png,L,P,2,4631,-114.21166795478673,949.8583436805898
No. 2753,train1,4632.png,L,P,2,4632,-403.8511040562477,-595.8193092316181
No. 2754,train1,4633.png,L,P,2,4633,-1200.127827673142,389.6689966924939
No. 2755,train1,4634.png,L,P,2,4634,-205.0348948939457,-1316.560045880696
No. 2756,train1,4635.png,L,P,2,4635,2237.256512997073,-71.71309379300533
No. 2757,train1,4636.png,L,P,2,4636,1531.1516157759977,840.9554711174807
No. 2758,train1,4637.png,L,P,2,4637,34.525597464387616,-606.1706716212805
No. 2759,train1,4638.png,L,P,2,4638,-294.5133905751439,746.5201957373054
No. 2760,train1,4639.png,L,P,2,4639,-229.82326109459282,811.2678704726467
No. 2761,train1,4640.png,L,P,2,4640,-74.14429296849406,1260.4516297811194
No. 2762,train1,4641.png,L,P,2,4641,-602.4990508035319,1558.8524754111052
No. 2763,train1,4642.png,L,P,2,4642,109.05286995771553,345.6035458887783
No. 2764,train1,4643.png,L,P,2,4643,-705.4457865626283,-1193.3734868890833
No. 2765,train1,4644.png,L,P,2,4644,-750.8982987463827,-3.6783240285784675
No. 2766,train1,4645.png,L,P,2,4645,-208.23869824406984,-4.402510087052614
No. 2767,train1,4646.png,L,P,2,4646,-203.71394375756103,-425.1623017393163
No. 2768,train1,4647.png,L,P,2,4647,-77.13261474060657,-147.59738033275227
No. 2769,train1,4648.png,L,P,2,4648,612.5702908137498,-191.15981739608893
No. 2770,train1,4649.png,L,P,2,4649,-511.1223295980902,774.137430334607
No. 2771,train1,4650.png,L,P,2,4650,-879.780157589441,377.0700982852392
No. 2772,train1,4651.png,L,P,2,4651,191.99970761527214,-872.8927101243983
No. 2773,train1,4652.png,L,P,2,4652,288.496641555953,587.237221007681
No. 2774,train1,4653.png,L,P,2,4653,248.2081817095054,-1104.3813159103686
No. 2775,train1,4654.png,L,P,2,4654,-1260.41401647146,970.5623477212584
No. 2776,train1,4656.png,L,P,2,4656,-610.4635143978561,-784.8408295005466
No. 2777,train1,4657.png,L,P,2,4657,-309.34815857405965,-37.31858119727693
No. 2778,train1,4659.png,L,P,2,4659,-75.94241717838776,935.1172825871323
No. 2779,train1,4660.png,L,P,2,4660,-200.14056114681387,803.47212695994
No. 2780,train1,4661.png,L,P,2,4661,-800.6551942428814,281.7077718752407
No. 2781,train1,4662.png,L,P,2,4662,2176.011397169639,-477.82723270526606
No. 2782,train1,4663.png,L,P,2,4663,-765.8539942908784,103.42118209087793
No. 2783,train1,4664.png,L,P,2,4664,590.401251009951,-360.96616547514276
No. 2784,train1,4665.png,L,P,2,4665,-158.21512956400886,-639.3869564917734
No. 2785,train1,4666.png,L,P,2,4666,530.5633329642433,467.94436358199465
No. 2786,train1,4667.png,L,P,2,4667,-709.7233149086865,243.42826046486556
No. 2787,train1,4668.png,L,P,2,4668,1523.5558073574298,-1832.7970157420427
No. 2788,train1,4669.png,L,P,2,4669,-420.00836340129484,814.0009993824953
No. 2789,train1,4670.png,L,P,2,4670,310.89991175545003,-622.6985428250714
No. 2790,train1,4671.png,L,P,2,4671,458.0164871073712,-669.1662526686061
No. 2791,train1,4672.png,L,P,2,4672,-784.6609989618361,553.2185766481272
No. 2792,train1,4673.png,L,P,2,4673,122.18019102185445,-1129.8421656339988
No. 2793,train1,4674.png,L,P,2,4674,2273.7867864937807,354.60933277091874
No. 2794,train1,4675.png,L,P,2,4675,434.1354864088654,939.0947316389629
No. 2795,train1,4676.png,L,P,2,4676,246.88162307987704,519.9688666800928
No. 2796,train1,4677.png,L,P,2,4677,-55.93603467194391,146.3766732499481
No. 2797,train1,4678.png,L,P,2,4678,742.4637147326155,-463.5591539105142
No. 2798,train1,4679.png,L,P,2,4679,-529.0903365943097,292.2143000110089
No. 2799,train1,4680.png,L,P,2,4680,1459.8964892987312,-54.025392931154556
No. 2800,train1,4681.png,L,P,2,4681,161.36626767799413,221.02426209935302
No. 2801,train1,4682.png,L,P,2,4682,-362.97489842040164,660.5603965985296
No. 2802,train1,4683.png,L,P,2,4683,-407.94358786535275,-473.80488897658245
No. 2803,train1,4685.png,L,P,2,4685,-164.88811299483615,-452.90876729312316
No. 2804,train1,4686.png,L,P,2,4686,-747.5548966727869,-287.44228538579637
No. 2805,train1,4687.png,L,P,2,4687,105.58133162602577,-493.12095628155953
No. 2806,train1,4688.png,L,P,2,4688,-73.76630677256665,-71.1293389902532
No. 2807,train1,4689.png,L,P,2,4689,-1501.5115913301522,1266.4598394642258
No. 2808,train1,4690.png,L,P,2,4690,-496.57261040838097,-65.00695386881517
No. 2809,train1,4691.png,L,P,2,4691,-305.8748054688144,486.72143775282814
No. 2810,train1,4692.png,L,P,2,4692,700.4354421144169,1391.36293018361
No. 2811,train1,4693.png,L,P,2,4693,744.0278029445102,-1201.913511872163
No. 2812,train1,4694.png,L,P,2,4694,-158.9989191722393,290.8018418933153
No. 2813,train1,4695.png,L,P,2,4695,-295.4322600613736,-98.22860767348982
No. 2814,train1,4696.png,L,P,2,4696,558.5616411790822,-305.2757244156697
No. 2815,train1,4697.png,L,P,2,4697,344.3174344376459,-316.874404643654
No. 2816,train1,4698.png,L,P,2,4698,-89.74607399788195,844.0130408620171
No. 2817,train1,4699.png,L,P,2,4699,315.2071986949955,12.285469429083692
No. 2818,train1,4700.png,L,P,2,4700,-455.7140811828899,383.0790884112528
No. 2819,train1,4701.png,L,P,2,4701,-451.51054951395076,-460.2110375861789
No. 2820,train1,4702.png,L,P,2,4702,-553.8174893961805,-1278.550437763553
No. 2821,train1,4703.png,L,P,2,4703,729.1245653274499,-80.58212983300542
No. 2822,train1,4704.png,L,P,2,4704,-202.7499070291381,991.1691996019409
No. 2823,train1,4705.png,L,P,2,4705,454.11103975702235,658.9877158320066
No. 2824,train1,4706.png,L,P,2,4706,2023.2265498177364,-1092.3030790082016
No. 2825,train1,4707.png,L,P,2,4707,-333.72230824867404,171.89537492330174
No. 2826,train1,4709.png,L,P,2,4709,-437.20179330245867,1405.125934502803
No. 2827,train1,4710.png,L,P,2,4710,-411.54193337479626,956.6573941544548
No. 2828,train1,4711.png,L,P,2,4711,694.4172453432141,-1246.4459224831978
No. 2829,train1,4712.png,L,P,2,4712,502.0381621574909,-1648.7973762363054
No. 2830,train1,4713.png,L,P,2,4713,672.4710502706113,-367.6740807016479
No. 2831,train1,4714.png,L,P,2,4714,619.2203290362711,-281.58879583027783
No. 2832,train1,4715.png,L,P,2,4715,-612.6612442864923,631.3680698494015
No. 2833,train1,4716.png,L,P,2,4716,570.8428236320417,-313.2964572492431
No. 2834,train1,4717.png,L,P,2,4717,-119.23301855949163,451.4689181654286
No. 2835,train1,4718.png,L,P,2,4718,-64.86378074177732,1405.1195089454109
No. 2836,train1,4719.png,L,P,2,4719,48.250726130403976,-1253.842022431817
No. 2837,train1,4720.png,L,P,2,4720,711.8371875137511,-226.24511956152202
No. 2838,train1,4721.png,L,P,2,4721,-694.3107658999689,370.0134202335696
No. 2839,train1,4722.png,L,P,2,4722,1371.3969617845655,2126.639614887019
